Stock_ID,Company_Name,Fortune_500_Rank,Primary_Industry,City,State,County,Number_of_Employees,Indeed_Score,Glassdoor_Score
OMI,Owens & Minor,345,Healthcare,Mechanicsville,Virginia,Hanover County,15000,3.1,3.2
MOS,Mosaic,346,Agriculture,Tampa,Florida,Hillsborough County,13000,3.7,3.8
ERIE,Erie Insurance,347,Insurance,Erie,Pennsylvania,Erie County,6000,3.9,4.3
GNW,Genworth Financial ,348,Financial Services,Richmond,Virginia,Henrico County,3000,3.7,3.7
APH,Amphenol,349,Electronics,Wallingford,Connecticut,New Haven County,74000,3.6,3.4
BLDR,Builders FirstSource,350,Materials,Dallas ,Texas,Dallas County,15000,3.3,3.4
OKE,Oneok,351,Energy,Tulsa,Oklahoma,Tulsa County,2684,3.8,4.4
URI,United Rentals,352,Rental,Stamford,Connecticut,Fairfield County,18800,3.6,3.9
BHF,Brighthouse Financial,353,Insurance,Charlotte,North Carolina,Mecklenburg County,1400,3.6,4.6
REGN,Regeneron Pharmaceuticals,354,Pharmaceutical,Eastview,New York,Westchester County,9123,3.7,4.1
EMN,Eastman Chemical,355,Chemicals,Kingsport,Tennessee,Sullivan County,14500,3.7,3.9
COMM,CommScope Holding,356,Telecommunications,Hickory,North Carolina,Catawba County,30000,3.7,3.7
R,Ryder System,357,Transportation,Miami,Florida,Miami-Dade County,39900,3.3,3.7
FITB,Fifth Third Bancorp,358,Banking,Cincinnati,Ohio,Hamilton County,19846,3.5,3.6
STZ,Constellation Brands,359,Food,Victor,New York,Ontario County,8700,3.8,3.9
NSIT,Insight Enterprises,360,IT Services,Tempe,Arizona,Maricopa County,11000,3.6,4
GLP,Global Partners,361,Energy,Waltham,Massachusetts,Middlesex County,2000,3.6,3.7
UNVR,Univar Solutions,362,Chemicals,Seattle,Washington,King County,9457,3.3,3.4
TRGP,Targa Resources,364,Energy,Houston,Texas,Harris County,2372,3.6,3.7
ICE,Intercontinental Exchange,365,Financial Services,Atlanta,Georgia,Cobb County,8858,3.3,3.7
ANDE,Andersons ,366,Conglomerate,Maumee,Oho,Lucas County,1819,3.7,3.8
RJF,Raymond James Financial,367,Financial Services,St. Petersburg,Florida,Pinellas County,18910,3.8,3.9
THO,Thor Industries,368,RV,Elkhart,Indiana,Elkhart County,22500,3,2.8
HSY,Hershey,370,Food,Hershey,Pennsylvania,Dauphin County,16140,3.8,4
CASY,Casey's General Stores,371,Retail,Ankeny,Iowa,Polk County,36841,3.3,3
