Area,State,Year,Total,Mining_and_Logging,Construction,Manufacturing,Trade_transportation_and_utilities,Information,Financial_activities,Professional_and_business services,Education_and_health_services,Leisure_and_hospitality,Other_services,Government
"Lancaster, PA",Pennsylvania,2020,241.9,,17.8,35.2,57.2,2.4,9.5,24.6,45.7,18.8,11.3,19.4
"Lansing-East Lansing, MI",Michigan,2020,216.6,,8,17.8,33.5,3.1,17.3,21.9,30.7,13.8,8.8,61.7
"Laredo, TX",Texas,2020,100.9,,3.3,0.7,30.6,0.6,3.6,9.4,16.9,9.8,2.3,23.8
"Las Cruces, NM",New Mexico,2020,70.5,,3.8,2.8,10.8,0.5,2.3,6.9,16.2,6.8,1.4,19.1
"Las Vegas-Henderson-Paradise, NV",Nevada,2020,909.1,0.4,67.6,24,179.9,9.5,51.6,134.9,102.5,207.2,27.8,103.7
"Lawrence, KS",Kansas,2020,48.7,,,,7,,,5.2,5.4,5.4,,14.9
"Lawton, OK",Oklahoma,2020,42.9,,1.5,3.4,6.5,0.8,2,4.2,4.1,4.7,1.2,14.6
"Lebanon, PA",Pennsylvania,2020,50.3,,,9,11.7,,,,8.6,,,8.1
"Lewiston, ID-WA",Idaho,2020,28,0.2,1.6,4,5.2,0.4,1.5,1.4,5.3,2.6,0.9,5.1
"Lewiston-Auburn, ME",Maine,2020,48.8,,3,5,9.9,0.4,2.2,6.2,11.8,3.3,1.4,5.5
"Lexington-Fayette, KY",Kentucky,2020,264.2,,13.5,28.3,50,2.5,9.8,37.8,34.7,25.7,9.5,52.5
"Lima, OH",Ohio,2020,50.1,,2.1,8.5,9.3,,,5.3,10.6,4.3,,5.9
"Lincoln, NE",Nebraska,2020,185.1,,9.7,12.9,32.4,3.2,12.7,21.6,29.9,15.4,6.9,40.5
"Little Rock-North Little Rock-Conway, AR",Arkansas,2020,348.8,,17.7,19.4,68.2,5.3,22.2,43.4,57,29.2,17.7,68.7
"Logan, UT-ID",Utah,2020,64.7,,3.5,12.8,9.9,0.5,1.8,8.2,7.5,4.9,1.1,14.6
"Longview, TX",Texas,2020,92.8,,12.5,9,19.1,1,4.4,8.7,15.2,8.3,2.8,12
"Longview, WA",Washington,2020,39.5,,3.5,6.5,7.9,,,,6.9,3.1,,6
"Los Angeles-Long Beach-Anaheim, CA",California,2020,5671.4,2,247.4,462.8,1028.9,210,326.8,900.3,1044.9,555.9,171,721.4
"Louisville/Jefferson County, KY-IN",Kentucky,2020,635.7,,28,78.5,149.4,8.3,47.2,81.1,93.4,55.3,23.4,71.1
"Lubbock, TX",Texas,2020,145.4,,8.8,4.8,30,2.7,7.7,12,22.1,18.3,5.7,33.3
"Lynchburg, VA",Virginia,2020,100.4,,6,14.2,18.8,0.6,5.2,10.7,19.1,9.2,4.1,12.6
"Macon-Bibb County, GA",Georgia,2020,98.2,,,,18.8,,9.7,11.2,20.9,9.5,,14.2
"Madera, CA",California,2020,38.5,,2,3.1,5.9,0.3,0.7,2.8,8.9,3.3,0.9,10.7
"Madison, WI",Wisconsin,2020,390.2,,17.8,35.4,61.4,17.4,23.7,52.1,49.7,28,20.4,84.4
"Manchester-Nashua, NH",New Hampshire,2020,107.5,,5.4,7.6,19.4,3.2,7.8,16.2,24.5,7.8,4.1,11.5
"Manhattan, KS",Kansas,2020,39.2,,,,,,,,,,,12.3
"Mankato, MN",Minnesota,2020,54.6,,,,,,,,,,,9.4
"Mansfield, OH",Ohio,2020,48.5,,2.1,9,9.6,,1.3,4.2,7.8,4.9,2,7.4
"McAllen-Edinburg-Mission, TX",Texas,2020,262.6,,7.6,6.8,51.1,2.6,8.9,17.8,80,23,5.2,59.6
"Medford, OR",Oregon,2020,85.7,0.5,4.6,7.7,19.4,1.1,4.1,7.5,17.8,9.2,2.5,11.2
"Memphis, TN-MS-AR",Tennessee,2020,626.4,,23.7,43.6,173.3,5.1,29,91,94.9,56.3,26.8,82.8
"Merced, CA",California,2020,66.9,,2.6,9.9,13.1,0.2,1.8,4.1,10.3,5.3,1.3,18.3
"Miami-Fort Lauderdale-Pompano Beach, FL",Florida,2020,2540.5,0.8,138.9,87.6,577.6,47.1,187.7,434.8,396.6,256.4,106.2,306.9
"Michigan City-La Porte, IN",Indiana,2020,39.3,,2,7.7,8,0.2,1.2,2.6,5.6,4.6,1.1,6.2
"Midland, MI",Texas,2020,97.8,,29.8,3.5,19.8,0.7,4.7,9.5,6.8,9.6,3.6,9.8
"Midland, TX",Michigan,2020,34.9,,,,,,,,,,,2.8
"Milwaukee-Waukesha, WI",Wisconsin,2020,818.2,0.5,32.7,112.5,140,12.4,50.1,115.9,167.9,62.4,43.8,80.1
"Minneapolis-St. Paul-Bloomington, MN-WI",Minnesota,2020,1887,,83.7,192.3,335.7,32.7,160.5,309.3,328.5,136.2,68.3,239.7
"Missoula, MT",Montana,2020,60.3,,,,12.1,,,6.9,10.7,7.2,,10.4
"Mobile, AL",Alabama,2020,178.4,,11.2,18.1,36.1,1.9,8.3,24.1,27.3,15.5,11.3,24.7
"Modesto, CA",California,2020,172.8,,9.8,21.1,37.1,0.8,5,14.9,34.3,15.7,5.1,29
"Monroe, LA",Michigan,2020,37.5,,1.8,5.2,10.1,,0.9,4.8,4.5,3.6,1.4,5
"Monroe, MI",Louisiana,2020,74.1,,,5.8,13.5,,,8.4,15.3,7.1,,12.1
"Montgomery, AL",Alabama,2020,168.9,,6.5,17.3,29.2,1.7,7.4,19.9,19.2,14.6,9.2,44
"Morgantown, WV",West Virginia,2020,67.1,,,3.4,,,,8.1,15.6,5.6,,17.3
"Morristown, TN",Tennessee,2020,46,,1.9,11.8,9.6,0.3,0.9,4.3,5.6,3.9,1.2,6.6
"Mount Vernon-Anacortes, WA",Washington,2020,48.6,,4.2,6.2,9.6,,,,,4.3,,11
"Muncie, IN",Indiana,2020,47.5,,1.6,3.4,8.3,0.3,2.2,,9.2,4.7,1.8,11.1
"Muskegon, MI",Michigan,2020,57.9,,2.3,11.8,13.2,0.3,1.7,3,10.6,6.3,1.8,6.9
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",South Carolina,2020,162.2,,10.6,4.5,36.3,2.2,8.8,15.5,19,36.3,6.2,22.7
"Napa, CA",California,2020,66,,4.1,12.9,9.7,0.2,2.1,6.8,9.8,9.1,1.7,9.7
"Naples-Marco Island, FL",Florida,2020,148.4,,17.3,4.9,28.2,1.3,8.6,17.3,23,25.4,8.5,13.9
"Nashville-Davidson--Murfreesboro--Franklin, TN",Tennessee,2020,1000.2,,49.6,78.6,198.7,23.9,70.5,169.5,151.9,97.4,40.4,119.7
"New Bern, NC",North Carolina,2020,43.6,,,,,,,,,,,14.1
"New Orleans-Metairie, LA",Louisiana,2020,529.7,3.8,26.8,29,104.5,6,29.6,71,100.5,65.3,21.2,71.9
"New York-Newark-Jersey City, NY-NJ-PA",New York,2020,8963.9,,373.8,327.1,1540.4,289.9,765.4,1472,1931,620,348.1,1296.2
"Niles, MI",Michigan,2020,57.6,,2.1,11.7,10.2,0.4,2.5,5.3,9.3,5.9,2,8.1
"North Port-Sarasota-Bradenton, FL",Florida,2020,299.2,,26.6,16.2,57.7,3.5,15.5,43,55.3,39.3,14,28.2
"Norwich-New London, CT",Connecticut,2020,113.4,,3.9,17.4,20,1.3,2.7,8.6,20.2,12.2,2.8,24.3
"Ocala, FL",Florida,2020,105.8,,8.6,9.5,26.2,0.5,3.8,9.8,18.3,11.7,2.8,14.7
"Ocean City, NJ",New Jersey,2020,39.4,,,,7.5,,,,4.5,9.7,,8
"Odessa, TX",Texas,2020,71.8,,15.6,4.2,17,0.6,3.2,4.1,5.1,8.1,3.2,10.6
"Ogden-Clearfield, UT",Utah,2020,266.1,,21.3,34.7,46.9,1.6,11.2,32,34.8,22.7,6.7,54.1
"Oklahoma City, OK",Oklahoma,2020,628,10.5,31.4,32.1,115.7,6.1,33.7,81.7,96.6,65.6,27,127.8
"Olympia-Lacey-Tumwater, WA",Washington,2020,115.5,,6.7,3,18.7,1.3,4,11.6,18,9.1,4.7,38.4
"Omaha-Council Bluffs, NE-IA",Nebraska,2020,485.7,,30.4,33,91.8,9.9,45.5,70.9,78,43.3,17.7,65.2
"Orlando-Kissimmee-Sanford, FL",Florida,2020,1198.8,0.2,83,48.3,228.1,24.4,76.8,217.1,157,197.9,39.6,126.3
"Oshkosh-Neenah, WI",Wisconsin,2020,92.9,,5.6,21.7,14.5,1.5,4.4,11.9,11.3,6.1,5,11
"Owensboro, KY",Kentucky,2020,49.8,,2.3,8.6,9.5,0.3,3.4,4.1,9.5,4.3,1.4,6.3
"Oxnard-Thousand Oaks-Ventura, CA",California,2020,290.6,0.9,16.7,25.6,53.6,3.9,15.7,42.6,48.5,29.9,8.2,44.9
"Palm Bay-Melbourne-Titusville, FL",Florida,2020,224.8,,16.1,28.8,37,1.9,8.8,36.5,35.2,24.2,8.1,28.3
"Panama City, FL",Florida,2020,78.3,,7,3.2,15.8,0.6,4.7,10,9.5,11.8,2.6,13.2
"Parkersburg-Vienna, WV",West Virginia,2020,35.7,,,2.6,,,,,6.7,,,7.6
"Pensacola-Ferry Pass-Brent, FL",Florida,2020,181.8,,11.9,6.9,33.6,1.5,15.2,24.6,30.6,22.9,6.4,28.3
"Peoria, IL",Illinois,2020,160.3,,7.6,21.3,30.3,1.6,7.1,21,30.9,13.9,7.4,19.1
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Pennsylvania,2020,2760.1,,113.1,174.5,497.7,50.7,215.3,447.6,634.5,196,101.3,329.3
"Phoenix-Mesa-Chandler, AZ",Arizona,2020,2119.5,3,135.1,133,412.7,37.6,204.4,357.5,337.8,192.5,65.4,240.5
"Pine Bluff, AR",Arkansas,2020,31.5,,,,,,,,,,,8.9
"Pittsburgh, PA",Pennsylvania,2020,1096,8.9,56.3,80.5,193.4,17.9,75.5,172.3,248.8,88.6,42.8,111
"Pittsfield, MA",Massachusetts,2020,36.3,,2,2.8,6.5,0.7,1.8,4.3,8.5,3.5,1.2,5.1
"Pocatello, ID",Idaho,2020,36.8,,1.9,2.3,6.8,0.2,1.6,4.4,6.4,3.9,1.1,8.3
"Portland-South Portland, ME",Florida,2020,151.1,,12.2,7.4,30.7,1.1,5.9,21.5,27.7,17.9,7.4,19.1
"Portland-Vancouver-Hillsboro, OR-WA",Maine,2020,197.6,,10.1,14,35.8,2.9,17,28.8,41.7,17.5,7.1,22.7
"Port St. Lucie, FL",Oregon,2020,1143.1,1.2,73.5,121.3,215.9,25,72.4,182.6,177.9,90.2,37.9,145.2
"Poughkeepsie-Newburgh-Middletown, NY",New Hampshire,2020,88.3,,2.8,8.9,15.5,2.1,5.4,13.7,13.6,9.3,2.5,14.6
"Prescott Valley-Prescott, AZ",Arizona,2020,63.6,,6.4,3.6,12.6,0.5,2.2,4.6,12,8.8,2.3,10.7
"Provo-Orem, UT",Utah,2020,270.6,,26.2,20.1,45,13.5,10.9,40.7,54.3,21.4,5.8,32.8
"Pueblo, CO",Colorado,2020,62.2,,3.7,4.5,11.8,0.5,1.8,6.9,12.9,5.8,2.1,12.2
"Punta Gorda, FL",Florida,2020,48.3,,4.4,0.8,11.6,0.3,2.2,4.5,9.5,6.7,2.3,6
"Racine, WI",Wisconsin,2020,73.9,,3.1,17,14.2,0.4,2.3,6.1,11.6,6.6,3.6,9.1
"Raleigh-Cary, NC",North Carolina,2020,624.1,,41.8,30.2,113.9,22.2,33.5,125.4,78.9,57.1,25,96.1
"Rapid City, SD",South Dakota,2020,66.5,,5.1,2.8,13.1,0.7,3.5,6,12.1,8.9,3.4,10.8
"Reading, PA",Pennsylvania,2020,165.8,,7.4,29.1,31.1,0.9,6,22.4,30.9,11.5,7,19.7
"Redding, CA",California,2020,65.5,,4.3,2.5,13,0.5,2.8,5.8,15.4,5.8,2.2,13.3
"Reno, NV",Nevada,2020,235.1,0.4,18.1,24.3,52.8,2.9,11,32.5,27.3,30.4,5.9,29.5
"Richmond, VA",Virginia,2020,651.6,,39.7,30.7,120.2,6.4,53.3,114.1,97.1,52.6,28.3,109.2
"Riverside-San Bernardino-Ontario, CA",California,2020,1487.8,1.3,105,94.3,403.8,9.4,43.7,154,248.7,139.2,39.6,249.1
"Roanoke, VA",Virginia,2020,155,,9,14.9,31.8,1.2,7.9,21.4,27.5,12.7,6.4,22.3
"Rochester, MN",New York,2020,490.8,0.6,20.5,54,77.4,6.6,21.5,61.6,123.7,34.5,16.1,74.1
"Rochester, NY",Minnesota,2020,118.5,,5,10.4,16.7,1.4,2.8,5.5,51.6,9.1,3.5,12.6
"Rockford, IL",Illinois,2020,138.6,,5.1,28.9,28.6,1.2,4.8,12.1,24.1,11.5,7.8,14.6
"Rocky Mount, NC",North Carolina,2020,53.1,,2.5,10.1,11.5,,,4.7,6.2,4.7,,9.9
"Rome, GA",Georgia,2020,39.9,,,5.9,7.5,,,,10.7,,,5.6
"Sacramento-Roseville-Folsom, CA",California,2020,970.2,0.6,70.1,35.9,156.3,10.1,51.8,132.5,163,83.7,30.6,235.6
"Saginaw, MI",Michigan,2020,78.9,,3,10.6,15.4,1.1,3.7,10,15.4,6.7,2.6,10.5
"Salem, OR",Oregon,2020,165,0.6,12.6,11.9,28.6,1.3,6.9,14.5,29.7,13.2,4.9,40.7
"Salinas, CA",California,2020,132,0.2,6.2,4.7,24.6,0.8,4.1,14.4,19.9,18.8,4.4,33.8
"Salisbury, MD-DE",Delaware,2020,152.9,,9.3,13.8,30.3,1.1,6.3,14.5,26.1,23.3,5,23.4
"Salt Lake City, UT",Utah,2020,736.7,,49.9,58.1,148.5,20.3,61.5,130.4,85.3,53.9,20.9,107.9
"San Angelo, TX",Texas,2020,47.7,,3.4,3.1,9.4,0.6,2.5,4.2,7.9,5.5,1.9,9.2
"San Antonio-New Braunfels, TX",Texas,2020,1030.6,7.2,56.4,49.8,180.7,18.4,93.8,141.7,162.1,112.3,34.9,173.4
"San Diego-Chula Vista-Carlsbad, CA",California,2020,1385.3,0.3,81.9,113.8,208.5,22.1,74.3,247.7,210.2,144.9,44.5,237.1
"San Francisco-Oakland-Berkeley, CA",California,2020,2270.6,0.3,120.2,139.9,339.5,133.7,141,482.1,350.9,184.8,70.2,308
"San Jose-Sunnyvale-Santa Clara, CA",California,2020,1078.7,0.2,50.1,168.7,118,106,38,237.9,171.7,71.7,22.2,94.3
"San Luis Obispo-Paso Robles, CA",California,2020,108.5,,8.3,7.3,18.8,1.1,3.7,10.5,16.8,15.2,3.3,23.3
"Santa Cruz-Watsonville, CA",California,2020,93.2,,4.4,6.8,15.7,0.6,3.2,10.4,17,10,4.5,20.5
"Santa Fe, NM",New Mexico,2020,57.1,,3,0.8,9.4,0.8,2.3,5.2,9.9,8.3,3.2,14.4
"Santa Maria-Santa Barbara, CA",California,2020,181.5,0.8,8.8,11.9,25.5,3.9,6.7,32.1,28,21.7,5.6,36.6
"Santa Rosa-Petaluma, CA",California,2020,190.1,0.2,15.9,22.2,34,2.3,7.5,22.5,34.1,18.4,5.9,27.1
"Savannah, GA",Georgia,2020,180.5,,8.4,17.5,42.9,1.8,6.1,23.9,26,22.5,7,24.6
"Scranton--Wilkes-Barre, PA",Pennsylvania,2020,244.3,,9.8,26.9,61.9,2.6,13,25.5,51.5,17.8,7.5,27.9
"Seattle-Tacoma-Bellevue, WA",Washington,2020,1974.3,1.1,124.9,168.4,390.3,133.7,100.4,295.7,272.1,150.6,71.1,266
"Sebastian-Vero Beach, FL",Florida,2020,52,,4.4,2.2,10.4,0.5,2.7,6.2,10.8,7.1,2.7,5.2
"Sebring-Avon Park, FL",Florida,2020,24.9,,,,,,,,,,,4.2
"Sheboygan, WI",Wisconsin,2020,60,,2.3,20.8,9,0.2,3,4,8,4.6,2.6,5.5
"Sherman-Denison, TX",Texas,2020,47.7,,3,5.3,8.9,0.4,2.5,3.5,10.9,5.1,0.9,7.2
"Shreveport-Bossier City, LA",Louisiana,2020,167.8,4,7.4,9.9,35,1.5,7.3,17.1,31.6,18.8,5.8,29.5
"Sierra Vista-Douglas, AZ",Arizona,2020,34.4,,3,0.6,6.2,0.3,0.8,4.5,4.4,3.1,0.7,10.8
"Sioux City, IA-NE-SD",Iowa,2020,84.3,,,17.4,18.3,,,7.7,,7.1,,10.3
"Sioux Falls, SD",South Dakota,2020,155.8,,9.4,14,31.8,2.5,15.4,15.3,33.8,13.3,5.8,14.4
"South Bend-Mishawaka, IN-MI",Indiana,2020,134.1,,5.5,15.7,24.9,1.2,5.9,13.4,35.5,12.2,5.1,14.5
"Spartanburg, SC",South Carolina,2020,159.4,,7.5,36,35,0.6,4.9,17.4,14.7,12.9,5,25.4
"Spokane-Spokane Valley, WA",Washington,2020,243.5,,14.9,17,45.5,3.2,14.6,25.7,53.2,19.3,9.8,40.4
"Springfield, IL",Illinois,2020,101.4,,3.6,3.2,15.7,2,6.2,10,20.6,8.3,5.8,26.1
"Springfield, MA",Massachusetts,2020,306.6,,11.5,28.3,55.7,2.7,15.1,24,76.4,23,10.7,59.3
"Springfield, MO",Missouri,2020,211.8,,9.7,16.6,48.1,3.8,11.6,23.3,40.7,19.6,8.6,29.6
"Springfield, OH",Ohio,2020,46.4,,1.2,6.2,9,,3.3,5.4,8.1,4.5,1.8,6.8
"St. Cloud, MN",Minnesota,2020,103.9,,7.2,14.2,21.1,1.4,5.5,8.1,21.3,6.7,3.5,14.9
"St. George, UT",Utah,2020,71,,9.1,3.7,15.6,0.7,2.9,6.1,12.5,9.3,2.1,9.1
"St. Joseph, MO-KS",Missouri,2020,60.3,,,,10.6,,,,,,,10.8
"St. Louis, MO-IL",Missouri,2020,1327.5,,66,113.5,254.3,25.4,90.6,204.9,254.4,119.5,47,151.8
"State College, PA",Pennsylvania,2020,73.5,,,4.2,9,,,5.9,9.5,5.2,,31.1
"Staunton, VA",Virginia,2020,49.7,,,,,,,,,,,8.5
"Stockton, CA",California,2020,242.3,0.1,12.9,20.5,73.4,1.2,7.8,21.1,37.1,18.4,6.7,43.1
"Sumter, SC",South Carolina,2020,37.5,,,6.5,,,,,,,,6.4
"Syracuse, NY",New York,2020,294.2,,12.5,24.5,56.2,3.7,14.3,34.5,60.8,21.1,10.2,56.4
"Tallahassee, FL",Florida,2020,178.7,,8.3,3.4,23.5,3.1,7.5,22.5,24.4,16.6,8.8,60.6
"Tampa-St. Petersburg-Clearwater, FL",Florida,2020,1341.2,0.3,83.2,67,248.5,24.2,124,248,213,134,43.9,155.1
"Terre Haute, IN",Indiana,2020,63.8,,3.6,9,12.3,0.5,2.4,3.9,11.8,6.6,2.4,11.3
"Texarkana, TX-AR",Texas,2020,57.5,,2.8,5.3,12.6,0.2,2.2,4.1,9.4,6.4,1.9,12.7
"The Villages, FL",Florida,2020,31.5,,,,,,,,,,,5.2
"Toledo, OH",Ohio,2020,286.7,,13.9,43.8,54.6,3,10.9,32.3,48.2,27.2,10.2,42.6
"Topeka, KS",Kansas,2020,107.1,,5.4,8,16.7,1.2,7,12.3,18.7,7.4,4.6,26
"Trenton-Princeton, NJ",New Jersey,2020,267.1,,5.3,10.2,37.3,4.2,19.9,47.6,47.9,10.7,8.8,75.1
"Tucson, AZ",Arizona,2020,373.1,1.9,18,27.3,64,5.1,17.5,47.7,67.4,35.8,12.8,75.7
"Tulsa, OK",Oklahoma,2020,437.2,5.2,24.6,50.7,82.3,6.1,22.2,58.8,71.6,40.9,19.1,55.7
"Tuscaloosa, AL",Alabama,2020,104.7,,6.9,16.6,15.9,1.1,4.1,9.7,8.8,9.6,4.2,27.8
"Twin Falls, ID",Idaho,2020,46.5,,,,,,,,,,,6.2
"Tyler, TX",Texas,2020,104.7,,6.2,7,23.4,1.4,4.3,10.2,23.6,10.4,3.9,14.6
"Urban Honolulu, HI",Hawaii,2020,409.8,,26.2,9.3,73.3,6,21.7,52.3,61.9,48.6,17.7,92.7
"Utica-Rome, NY",New York,2020,117.7,,3.3,10.4,19.3,0.9,7.4,7.6,26.5,8.4,4.1,29.8
"Valdosta, GA",Georgia,2020,55,,,,13,,,,,,,12.8
"Vallejo, CA",California,2020,132.9,0.4,10.9,12.3,25.8,0.9,4.9,9.4,28.5,12.3,4,23.5
"Victoria, TX",Texas,2020,38.1,,3.4,2,9.9,0.3,1.6,2.2,6.1,4,1.5,7.2
"Vineland-Bridgeton, NJ",New Jersey,2020,56,,3,8.3,13.3,0.6,1.1,4.7,10.6,2.9,1.4,10.2
"Virginia Beach-Norfolk-Newport News, VA-NC",Virginia,2020,755.4,,39.2,56.8,125.2,9.4,38.7,111.5,109.1,76.3,31.6,157.5
"Visalia, CA",California,2020,123.9,,6.5,12.6,26.9,0.6,3.8,10.9,17.4,10.6,3.1,31.6
"Waco, TX",Texas,2020,120.9,,7.9,15.2,21.4,0.9,7.3,13.1,20.6,11.3,3.4,19.8
"Walla Walla, WA",Washington,2020,27.8,,1.1,4.1,3.9,0.3,1,1,6.9,2.2,0.6,6.7
"Warner Robins, GA",Georgia,2020,76,,,,11.1,,,,,,,27.9
"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,2020,3898.2,,176.2,55.2,411.6,94.1,184.6,935.2,546.4,287.7,266.4,941
"Waterloo-Cedar Falls, IA",Iowa,2020,85.8,,,15.8,17.1,,4.8,6.4,13.7,6.7,,13
"Watertown-Fort Drum, NY",New York,2020,38,,1.7,1.8,7.7,0.5,1.3,2,6.6,3.7,1.6,11.3
"Wausau-Weston, WI",Wisconsin,2020,69.9,,2.5,18.2,13,0.4,5.3,5.6,9.6,5,3.1,7.2
"Weirton-Steubenville, WV-OH",Ohio,2020,37.9,,1.5,4.6,7.8,,,1.9,8.7,3.9,,6.7
"Wenatchee, WA",Washington,2020,43.3,,2.8,2.3,9.5,,,,7.6,5.3,,9
"Wheeling, WV-OH",West Virginia,2020,59,,,3,,,,,11.2,,,9.2
"Wichita, KS",Texas,2020,56.7,,2.8,4.8,10.4,0.6,2.6,4.2,11,6.1,2,12.3
"Wichita Falls, TX",Kansas,2020,287.5,,16.9,46.5,48.3,3.6,11.8,34,46.9,28.7,10.2,40.7
"Williamsport, PA",Pennsylvania,2020,49.5,,,7.6,9.5,,,,10.1,3.7,,6.9
"Wilmington, NC",North Carolina,2020,126.2,,9.4,5.3,25.1,3.2,6.1,16.7,15.6,16.8,4.4,23.8
"Winchester, VA-WV",Virginia,2020,64.7,,,,14.2,,,,,,,10
"Winston-Salem, NC",North Carolina,2020,258.2,,11.7,32.2,47.4,1.6,13.4,34.3,55.4,24.2,8.2,29.9
"Yakima, WA",Washington,2020,83.1,,4.1,8.2,19.1,,,4.3,18,6.5,,17.2
"York-Hanover, PA",Pennsylvania,2020,175.4,,11.6,30.4,36.5,0.7,5.2,21.5,28.1,13.1,8.9,19.2
"Youngstown-Warren-Boardman, OH-PA",Ohio,2020,198.9,,8.9,23.1,42.3,1.5,6.9,18.2,41.4,20.7,8.4,27.5
"Yuba City, CA",California,2020,45.6,,2.8,2.1,9.6,0.2,1.4,3.4,8.7,3.9,1.1,12.3
"Yuma, AZ",Arizona,2020,55.7,,3.5,2.7,11.3,0.3,2,6.7,7.8,5.6,1.7,14.1
"Bridgeport-Stamford-Norwalk, CT",Connecticut,2020,440.5,,12.2,27.1,77.5,11.5,35.8,70.8,70.5,38.5,15.1,50.8
"Boston-Cambridge-Newton, MA-NH",Massachusetts,2020,2622.4,,115.6,182.8,397.1,80,184.1,505.3,562,196.5,86.8,312.4
"Providence-Warwick, RI-MA",Rhode Island,2020,608.4,0.2,26.6,53.7,104.6,6.6,38.5,76.8,134.5,58.1,25.3,83.5
"New Haven-Milford, CT",Connecticut,2020,340.6,,13.2,30.2,65.2,4.3,13.6,34.4,98.2,24,12.2,45.5
"Worcester, MA-CT",Massachusetts,2020,315.2,,12.5,32.6,59.4,3.2,15.6,31.4,76.3,23.5,10.2,50.5
