Area,State,Year,Total,Mining_and_Logging,Construction,Manufacturing,Trade_transportation_and_utilities,Information,Financial_activities,Professional_and_business services,Education_and_health_services,Leisure_and_hospitality,Other_services,Government
"Buffalo-Cheektowaga, NY",New York,2019,564.7,,21.2,52.5,99.5,6.9,36.6,72.7,99.2,60.3,25.8,90
"Burlington, NC",North Carolina,2019,64.2,,3.3,9.3,13.2,0.4,2,5.3,12.9,8.3,2.5,7.1
"Burlington-South Burlington, VT",Vermont,2019,126.5,,6,12.8,22.1,2.3,4.7,15.2,22.9,13.3,4.2,23.1
"California-Lexington Park, MD",Maryland,2019,47.1,,,,,,,,,,,15.4
"Canton-Massillon, OH",Ohio,2019,173.2,,8.9,26.7,31.1,1.4,7.5,16.3,33.5,19.1,8.5,20.1
"Cape Coral-Fort Myers, FL",Florida,2019,278.4,,32.6,6.5,54.8,2.8,14,37.6,31.4,43.6,11.7,43.5
"Cape Girardeau, MO-IL",Missouri,2019,45.2,,,,,,,,,,,6.4
"Carbondale-Marion, IL",Illinois,2019,58.2,,,,,,,,,,,17.2
"Carson City, NV",Nevada,2019,30.7,,,2.7,4.3,,,2.2,,3.7,,9.6
"Casper, WY",Wyoming,2019,39.6,2.9,2.9,1.8,8.8,0.4,2,2.8,6,4.6,1.8,5.6
"Cedar Rapids, IA",Iowa,2019,146.1,,8.1,20.4,32,3.5,11.4,15,21.6,12.3,5.1,16.6
"Chambersburg-Waynesboro, PA",Pennsylvania,2019,62,,2.4,9.2,15.4,,,6.2,10.7,5.5,,7.8
"Champaign-Urbana, IL",Illinois,2019,115.3,,3.8,7.8,16.7,2,4.9,9.6,16.1,12.1,3.2,39.1
"Charleston, WV",West Virginia,2019,109.1,,7.1,3.2,17.7,1.6,6.9,13.7,21.2,10.1,4,23.6
"Charleston-North Charleston, SC",South Carolina,2019,376.6,,21.9,30,69.1,5.3,15.8,58.6,42.9,50.8,15,67
"Charlotte-Concord-Gastonia, NC-SC",North Carolina,2019,1238.2,,68.5,110.8,248.3,23.7,102.8,212.7,127.7,143.7,45.7,154.3
"Charlottesville, VA",Virginia,2019,121.7,,5.8,4.1,14.7,2.2,4.9,16,14.7,14.4,6.1,38.9
"Chattanooga, TN-GA",Tennessee,2019,267.5,,11.4,34.2,53.6,2.3,22,28,35.1,30.3,12.4,38.1
"Cheyenne, WY",Wyoming,2019,47.7,,4.1,1.4,10.1,1,2.3,3.6,4.7,5,1.6,13.9
"Chicago-Naperville-Elgin, IL-IN-WI",Illinois,2019,4759.1,1.8,180.7,419.9,949.2,78.4,318.3,837.7,735.4,494.4,195.3,548
"Chico, CA",California,2019,80.6,,4.4,4.1,14.5,0.8,3.1,5.8,18.4,9,3.9,16.6
"Cincinnati, OH-KY-IN",Ohio,2019,1119.8,,48.3,120.3,220.7,13.6,73.9,172.1,169.8,127.5,41.2,132.4
"Clarksville, TN-KY",Tennessee,2019,93.3,,3.3,12.6,17.9,1.1,3.2,9,12.5,11.7,3.4,18.7
"Cleveland, TN",Tennessee,2019,48.5,,2,9.1,10.3,0.3,1.4,6.6,5.9,5.1,2.3,5.5
